1|00-14919|1633500.0|0.0|PEMBATALAN ATAL 900 GONI||
1|01-50106|0.0|1485000.0|||
1|00-33604|0.0|148500.0|||
D0000001|01-50101|0.0|171380.0| | |
D0000001|00-14910|188518.0|0.0| | |
D0000001|00-33604|0.0|17138.0|||
2|00-14913|36554186.0|0.0|ADJ SALAH KODE CUSTOMER||
2|00-11999|0.0|36554186.0|||
3|00-14913|57021542.0|0.0|ADJ SALAH KODE CUSTOMER||
3|00-11999|0.0|57021542.0|||
4|00-14913|59902710.0|0.0|ADJ SALAH KODE CUSTOMER||
4|00-11999|0.0|59902710.0|||
5|00-14913|19862246.0|0.0|ADJ SALAH KODE CUSTOMER||
5|00-11999|0.0|19862246.0|||
6|00-14903|15000788.0|0.0|ADJ SALAH KODE CUSTOMER||
6|00-11999|0.0|15000788.0|||
7|00-14903|27651643.0|0.0|ADJ SALAH KODE CUSTOMER||
7|00-11999|0.0|27651643.0|||
8|00-14913|39428510.0|0.0|ADJ SALAH KODE CUSTOMER||
8|00-11999|0.0|39428510.0|||
9|00-14913|36865360.0|0.0|ADJ SALAH KODE CUSTOMER||
9|00-11999|0.0|36865360.0|||
10|00-14905|15821455.0|0.0|ADJ SALAH KODE CUSTOMER||
10|00-11999|0.0|15821455.0|||
11|00-14914|39724492.0|0.0|ADJ C/N 5||
11|00-11999|0.0|39724492.0|||
12|00-14921|119805420.0|0.0|ADJ D/N 3||
12|00-11999|0.0|119805420.0|||
13|00-14921|114043084.0|0.0|ADJ D/N 2||
13|00-11999|0.0|114043084.0|||
14|00-14923|73108372.0|0.0|ADJ D/N 1||
14|00-11999|0.0|73108372.0|||
15|00-14902|30001576.0|0.0|ADJ D/N5||
15|00-11999|0.0|30001576.0|||
16|00-14902|55303286.0|0.0|ADJ D/N6||
16|00-11999|0.0|55303286.0|||
17|00-14913|77278229.0|0.0|SALAH KODE CUSTOMER||
17|00-11999|0.0|77278229.0|||
18|00-14914|39428510.0|0.0|ADJ SALAH KODE CUSTOMER||
18|00-11999|0.0|39428510.0|||
19|00-14921|36865360.0|0.0|ADJ SALAH KODE CUSTOMER||
19|00-11999|0.0|36865360.0|||
20|00-14907|3151458.0|0.0|PPH 23 UTK JASA ANALISA PT.SCI||
20|00-33603|0.0|967884.0|||
20|01-71170|0.0|2183574.0|||
21|00-14903|1486902.0|0.0|PPH 23 UTK JASA ANALISA PT.SCI||
21|00-33603|0.0|378439.0|||
21|01-81320|0.0|6000.0|||
21|01-71170|0.0|1102463.0|||
22|00-14902|586815.0|0.0|PPH 23 UTK JASA ANALISA PT.SCI||
22|00-33603|0.0|389834.0|||
22|01-71170|0.0|196981.0|||
23|00-14922|79358.0|0.0|PPH 23 UTK JASA ANALISA PT.SCI||
23|00-33603|0.0|54518.0|||
23|01-71170|0.0|24840.0|||
24|00-14922|219434.0|0.0|PPH 23 UTK JASA ANALISA PT.SCI||
24|00-33603|0.0|46520.0|||
24|01-71170|0.0|172914.0|||
25|00-14905|1105142.0|0.0|PPH 23 UTK JASA ANALISA PT.SCI||
25|00-33603|0.0|193100.0|||
25|01-71170|0.0|912042.0|||
26|00-14911|200570795.0|0.0|SALAH KODE CUSTOMER||
26|00-11999|0.0|200570795.0|||
27|00-14926|25000.0|0.0|TRADE RECEIVABLE-LAMONGAN AREA||
27|01-81320|0.0|25000.0|||
28|00-14924|40000.0|0.0|TRADE RECEIVABLE-MADIUN AREA||
28|01-81320|0.0|40000.0|||
29|00-14923|10000.0|0.0|TRADE RECEIVABLE-PASURUAN AREA||
29|01-81320|0.0|10000.0|||
30|00-14921|35000.0|0.0|TRADE RECEIVABLE-KEDIRI AREA||
30|01-81320|0.0|35000.0|||
31|00-14914|30000.0|0.0|TRADE RECEIVABLE-MALANG AREA||
31|01-81320|0.0|30000.0|||
32|00-14913|35000.0|0.0|TRADE RECEIVABLE-SURABAYA AREA||
