FAM1510|F0096|MFA01257|01/11/2007|MAUFM020|JRG|01/11/2007|1.0|1.0|NONE|10629|SEKA|27/10/2007| ||
FAM1511|F0046|MFA01258|01/11/2007|MMCDU001|KLG|01/11/2007|40.0|40.0|NONE|10599|TRI|27/10/2007| ||
FAM1512|F0046|MFA01259|01/11/2007|MSMAA030|DRG|01/11/2007|2.0|2.0|NONE|10598|TRI|27/10/2007| ||
FAM1513|F0115|MFA01260|01/11/2007|MMCDU001|KLG|01/11/2007|20.0|20.0|NONE|10597|TRI|27/10/2007| ||
FAM1514|F0115|MFA01261|01/11/2007|MSMAA030|DRG|01/11/2007|1.0|1.0|NONE|10594|TRI|27/10/2007| ||
FAM1525|F0138|MFA01269|01/11/2007|MPSFPT01|KG|01/11/2007|8.0|8.0|NONE|10563|TRI|30/10/2007| ||
FAM1527|F0114|MFA01271|02/11/2007|MMEDX250|PACK|02/11/2007|6.0|6.0|NONE|10545|TRI|31/10/2007| ||
FAM1527|F0114|MFA01271|02/11/2007|MMEH1201|VIAL|02/11/2007|4.0|4.0|NONE|10544|TRI|31/10/2007| ||
FAM1527|F0114|MFA01271|02/11/2007|MMESM001|KG|02/11/2007|1.0|1.0|NONE|10543|TRI|31/10/2007| ||
FAM1527|F0114|MFA01271|02/11/2007|MMESP001|PACK|02/11/2007|10.0|10.0|NONE|10542|TRI|31/10/2007| ||
FAM1527|F0114|MFA01271|02/11/2007|MMEVT100|PACK|02/11/2007|5.0|5.0|NONE|10541|TRI|31/10/2007| ||
FAM1528|F0093|MFA01272|02/11/2007|MMEDX250|PACK|02/11/2007|20.0|20.0|NONE|10540|TRI|31/10/2007| ||
FAM1528|F0093|MFA01272|02/11/2007|MMEH1201|VIAL|02/11/2007|16.0|16.0|NONE|10539|TRI|31/10/2007| ||
FAM1528|F0093|MFA01272|02/11/2007|MMESM001|KG|02/11/2007|1.0|1.0|NONE|10538|TRI|31/10/2007| ||
FAM1529|F0019|MFA01273|02/11/2007|MMEDX250|PACK|02/11/2007|12.0|12.0|NONE|10535|TRI|31/10/2007| ||
FAM1530|F0114|MFA01274|02/11/2007|MROGF001|KG|02/11/2007|1.0|1.0|NONE|10537|TRI|31/10/2007| ||
FAM1530|F0114|MFA01274|02/11/2007|MROIB001|VIAL|02/11/2007|4.0|4.0|NONE|10533|TRI|31/10/2007| ||
FAM1531|F0093|MFA01275|02/11/2007|MROGF001|KG|02/11/2007|2.0|2.0|NONE|10536|TRI|31/10/2007| ||
FAM1531|F0093|MFA01275|02/11/2007|MROGF300|BTL|02/11/2007|11.0|11.0|NONE|10534|TRI|31/10/2007| ||
FAM1531|F0093|MFA01275|02/11/2007|MROIB001|VIAL|02/11/2007|15.0|15.0|NONE|10532|TRI|31/10/2007| ||
FAM1532|F0009|MFA01276|02/11/2007|MMEDP250|PACK|02/11/2007|8.0|8.0|NONE|10530|TRI|31/10/2007| ||
FAM1532|F0009|MFA01276|02/11/2007|MMEDX250|PACK|02/11/2007|4.0|4.0|NONE|10531|TRI|31/10/2007| ||
FAM1532|F0009|MFA01276|02/11/2007|MMEH1201|VIAL|02/11/2007|18.0|18.0|NONE|10529|TRI|31/10/2007| ||
FAM1532|F0009|MFA01276|02/11/2007|MMEHGM97|VIAL|02/11/2007|18.0|18.0|NONE|10527|TRI|31/10/2007| ||
FAM1532|F0009|MFA01276|02/11/2007|MMESM001|KG|02/11/2007|5.0|5.0|NONE|10528|TRI|31/10/2007| ||
FAM1533|F0059|MFA01277|02/11/2007|MMEDP250|PACK|02/11/2007|6.0|6.0|NONE|10526|TRI|31/10/2007| ||
FAM1533|F0059|MFA01277|02/11/2007|MMEH1201|VIAL|02/11/2007|7.0|7.0|NONE|10525|TRI|31/10/2007| ||
FAM1533|F0059|MFA01277|02/11/2007|MMEHGM97|VIAL|02/11/2007|7.0|7.0|NONE|10524|TRI|31/10/2007| ||
FAM1533|F0059|MFA01277|02/11/2007|MMESM001|KG|02/11/2007|1.0|1.0|NONE|10523|TRI|31/10/2007| ||
FAM1534|F0006C|MFA01278|02/11/2007|MMEDP250|PACK|02/11/2007|8.0|8.0|NONE|10522|TRI|31/10/2007| ||
FAM1534|F0006C|MFA01278|02/11/2007|MMEH1201|VIAL|02/11/2007|4.0|4.0|NONE|10521|TRI|31/10/2007| ||
FAM1534|F0006C|MFA01278|02/11/2007|MMEHGM97|VIAL|02/11/2007|4.0|4.0|NONE|10520|TRI|31/10/2007| ||
FAM1534|F0006C|MFA01278|02/11/2007|MMESM001|KG|02/11/2007|2.0|2.0|NONE|10519|TRI|31/10/2007| ||
FAM1534|F0006C|MFA01278|02/11/2007|MMESP001|PACK|02/11/2007|10.0|10.0|NONE|10518|TRI|31/10/2007| ||
FAM1535|F0077B|MFA01279|02/11/2007|MMEDX250|PACK|02/11/2007|6.0|6.0|NONE|10517|TRI|31/10/2007| ||
FAM1535|F0077B|MFA01279|02/11/2007|MMEH1201|VIAL|02/11/2007|7.0|7.0|NONE|10516|TRI|31/10/2007| ||
FAM1535|F0077B|MFA01279|02/11/2007|MMEHGM97|VIAL|02/11/2007|7.0|7.0|NONE|10515|TRI|31/10/2007| ||
FAM1535|F0077B|MFA01279|02/11/2007|MMESM001|KG|02/11/2007|2.0|2.0|NONE|10514|TRI|31/10/2007| ||
FAM1536|F0078A|MFA01280|02/11/2007|MMEDX250|PACK|02/11/2007|20.0|20.0|NONE|10511|TRI|31/10/2007| ||
FAM1536|F0078A|MFA01280|02/11/2007|MMEH1201|VIAL|02/11/2007|44.0|44.0|NONE|10510|TRI|31/10/2007| ||
FAM1536|F0078A|MFA01280|02/11/2007|MMEHGM97|VIAL|02/11/2007|44.0|44.0|NONE|10513|TRI|31/10/2007| ||
FAM1536|F0078A|MFA01280|02/11/2007|MMESM001|KG|02/11/2007|8.0|8.0|NONE|10512|TRI|31/10/2007| ||
FAM1537|F0009|MFA01281|02/11/2007|MMEVT100|PACK|02/11/2007|10.0|10.0|NONE|10509|TRI|31/10/2007| ||
FAM1538|F0077B|MFA01282|02/11/2007|MMEVT100|PACK|02/11/2007|3.0|3.0|NONE|10508|TRI|31/10/2007| ||
FAM1539|F0078A|MFA01283|02/11/2007|MMEVT100|PACK|02/11/2007|24.0|24.0|NONE|10507|TRI|31/10/2007| ||
FAM1540|F0059|MFA01284|02/11/2007|MMEVT100|PACK|02/11/2007|5.0|5.0|NONE|10505|TRI|31/10/2007| ||
FAM1541|F0006C|MFA01285|02/11/2007|MMEVT100|PACK|02/11/2007|5.0|5.0|NONE|10506|TRI|31/10/2007| ||
FAM1542|F0078A|MFA01286|02/11/2007|MROAV001|VIAL|02/11/2007|44.0|44.0|NONE|10504|TRI|31/10/2007| ||
FAM1542|F0078A|MFA01286|02/11/2007|MROGF001|KG|02/11/2007|8.0|8.0|NONE|10503|TRI|31/10/2007| ||
FAM1542|F0078A|MFA01286|02/11/2007|MROGF300|BTL|02/11/2007|30.0|30.0|NONE|10502|TRI|31/10/2007| ||
FAM1543|F0059|MFA01287|02/11/2007|MROAV001|VIAL|02/11/2007|7.0|7.0|NONE|10501|TRI|31/10/2007| ||
FAM1543|F0059|MFA01287|02/11/2007|MROGF001|KG|02/11/2007|2.0|2.0|NONE|10498|TRI|31/10/2007| ||
FAM1544|F0006C|MFA01288|02/11/2007|MROAV001|VIAL|02/11/2007|4.0|4.0|NONE|10497|TRI|31/10/2007| ||
FAM1545|F0009|MFA01289|02/11/2007|MROGF001|KG|02/11/2007|3.0|3.0|NONE|10500|TRI|31/10/2007| ||
FAM1545|F0009|MFA01289|02/11/2007|MROGF300|BTL|02/11/2007|12.0|12.0|NONE|10499|TRI|31/10/2007| ||
FAM1546|F0077B|MFA01290|02/11/2007|MROGF001|KG|02/11/2007|2.0|2.0|NONE|10494|TRI|31/10/2007| ||
FAM1546|F0077B|MFA01290|02/11/2007|MROGF300|BTL|02/11/2007|4.0|4.0|NONE|10493|TRI|31/10/2007| ||
FAM1547|F0096|MFA01291|02/11/2007|MROGF300|BTL|02/11/2007|1.0|1.0|NONE|10496|TRI|31/10/2007| ||
FAM1548|F0142|MFA01292|01/11/2007|MROAMP20|KG|01/11/2007|1.0|1.0|NONE|10495|TRI|31/10/2007| ||
FAM1549|F0133|MFA01293|01/11/2007|MMSNS250|PACK|01/11/2007|4.0|4.0|NONE|10492|TRI|31/10/2007| ||
FAM1550|K055|MFA01294|02/11/2007|MROAMP20|KG|02/11/2007|2.0|2.0|NONE|10491|TRI|31/10/2007| ||
FAM1550|K055|MFA01294|02/11/2007|MROAV001|VIAL|02/11/2007|6.0|6.0|NONE|10490|TRI|31/10/2007| ||
FAM1550|K055|MFA01294|02/11/2007|MROGF001|KG|02/11/2007|2.0|2.0|NONE|10489|TRI|31/10/2007| ||
FAM1551|K009|MFA01295|02/11/2007|MROAMP20|KG|02/11/2007|2.0|2.0|NONE|10488|TRI|31/10/2007| ||
FAM1551|K009|MFA01295|02/11/2007|MROAV001|VIAL|02/11/2007|16.0|16.0|NONE|10487|TRI|31/10/2007| ||
FAM1551|K009|MFA01295|02/11/2007|MROGF001|KG|02/11/2007|3.0|3.0|NONE|10484|TRI|31/10/2007| ||
FAM1552|K004|MFA01296|02/11/2007|MROAMP20|KG|02/11/2007|2.0|2.0|NONE|10483|TRI|31/10/2007| ||
FAM1552|K004|MFA01296|02/11/2007|MROAV001|VIAL|02/11/2007|10.0|10.0|NONE|10486|TRI|31/10/2007| ||
FAM1552|K004|MFA01296|02/11/2007|MROGF001|KG|02/11/2007|2.0|2.0|NONE|10485|TRI|31/10/2007| ||
FAM1553|F0062|MFA01297|02/11/2007|MROAMP20|KG|02/11/2007|4.0|4.0|NONE|10482|TRI|31/10/2007| ||
FAM1553|F0062|MFA01297|02/11/2007|MROCK003|BTL|02/11/2007|5.0|5.0|NONE|10481|TRI|31/10/2007| ||
FAM1554|F0091|MFA01298|02/11/2007|MROAMP20|KG|02/11/2007|3.0|3.0|NONE|10480|TRI|31/10/2007| ||
FAM1554|F0091|MFA01298|02/11/2007|MROCK003|BTL|02/11/2007|1.0|1.0|NONE|10479|TRI|31/10/2007| ||
FAM1555|K040|MFA01299|02/11/2007|MROAV001|VIAL|02/11/2007|3.0|3.0|NONE|10478|TRI|31/10/2007| ||
FAM1555|K040|MFA01299|02/11/2007|MROGF001|KG|02/11/2007|2.0|2.0|NONE|10477|TRI|31/10/2007| ||
FAM1556|F0106A|MFA01300|02/11/2007|MROAV001|VIAL|02/11/2007|5.0|5.0|NONE|10476|TRI|31/10/2007| ||
FAM1556|F0106A|MFA01300|02/11/2007|MROGF300|BTL|02/11/2007|4.0|4.0|NONE|10475|TRI|31/10/2007| ||
FAM1557|F0068B|MFA01301|02/11/2007|MROAV001|VIAL|02/11/2007|5.0|5.0|NONE|10474|TRI|31/10/2007| ||
FAM1557|F0068B|MFA01301|02/11/2007|MROGF001|KG|02/11/2007|1.0|1.0|NONE|10471|TRI|31/10/2007| ||
FAM1558|F0105A|MFA01302|02/11/2007|MROAV001|VIAL|02/11/2007|48.0|48.0|NONE|10470|TRI|31/10/2007| ||
FAM1558|F0105A|MFA01302|02/11/2007|MROCK001|BTL|02/11/2007|3.0|3.0|NONE|10473|TRI|31/10/2007| ||
FAM1558|F0105A|MFA01302|02/11/2007|MROGF001|KG|02/11/2007|2.0|2.0|NONE|10472|TRI|31/10/2007| ||
FAM1558|F0105A|MFA01302|02/11/2007|MROGF300|BTL|02/11/2007|16.0|16.0|NONE|10469|TRI|31/10/2007| ||
FAM1559|F0053|MFA01303|02/11/2007|MROAV001|VIAL|02/11/2007|6.0|6.0|NONE|10468|TRI|31/10/2007| ||
FAM1559|F0053|MFA01303|02/11/2007|MROCK001|BTL|02/11/2007|1.0|1.0|NONE|10467|TRI|31/10/2007| ||
FAM1560|F0102|MFA01304|02/11/2007|MROAV001|VIAL|02/11/2007|6.0|6.0|NONE|10466|TRI|31/10/2007| ||
FAM1561|K040|MFA01305|02/11/2007|MROIB001|VIAL|02/11/2007|2.0|2.0|NONE|10465|TRI|31/10/2007| ||
FAM1562|K055|MFA01306|02/11/2007|MROIB001|VIAL|02/11/2007|5.0|5.0|NONE|10464|TRI|31/10/2007| ||
FAM1563|K009|MFA01307|02/11/2007|MROIB001|VIAL|02/11/2007|8.0|8.0|NONE|10463|TRI|31/10/2007| ||
FAM1564|K004|MFA01308|02/11/2007|MROIB001|VIAL|02/11/2007|5.0|5.0|NONE|10462|TRI|31/10/2007| ||
FAM1565|F0106A|MFA01309|02/11/2007|MROIB001|VIAL|02/11/2007|4.0|4.0|NONE|10461|TRI|31/10/2007| ||
FAM1565|F0106A|MFA01309|02/11/2007|MROREV01|LTR|02/11/2007|1.0|1.0|NONE|10460|TRI|31/10/2007| ||
FAM1566|F0068B|MFA01310|02/11/2007|MROIB001|VIAL|02/11/2007|5.0|5.0|NONE|10459|TRI|31/10/2007| ||
FAM1567|F0105A|MFA01311|02/11/2007|MROIB001|VIAL|02/11/2007|24.0|24.0|NONE|10458|TRI|31/10/2007| ||
FAM1568|F0053|MFA01312|02/11/2007|MROIB001|VIAL|02/11/2007|5.0|5.0|NONE|10457|TRI|31/10/2007| ||
FAM1569|F0102|MFA01313|02/11/2007|MROIB001|VIAL|02/11/2007|7.0|7.0|NONE|10456|TRI|31/10/2007| ||
FAM1570|F0062|MFA01314|02/11/2007|MROIB001|VIAL|02/11/2007|13.0|13.0|NONE|10455|TRI|31/10/2007| ||
FAM1571|F0091|MFA01315|02/11/2007|MROIB001|VIAL|02/11/2007|5.0|5.0|NONE|10454|TRI|31/10/2007| ||
FAM1572|F0106A|MFA01316|02/11/2007|MMEH1201|VIAL|02/11/2007|4.0|4.0|NONE|10453|TRI|31/10/2007| ||
FAM1572|F0106A|MFA01316|02/11/2007|MMEVT100|PACK|02/11/2007|5.0|5.0|NONE|10452|TRI|31/10/2007| ||
FAM1573|F0062|MFA01317|02/11/2007|MMEH1201|VIAL|02/11/2007|12.0|12.0|NONE|10451|TRI|31/10/2007| ||
FAM1573|F0062|MFA01317|02/11/2007|MMSNS250|PACK|02/11/2007|20.0|20.0|NONE|10450|TRI|31/10/2007| ||
FAM1574|F0091|MFA01318|02/11/2007|MMEH1201|VIAL|02/11/2007|5.0|5.0|NONE|10448|TRI|31/10/2007| ||
FAM1575|F0053|MFA01319|02/11/2007|MMESP250|PACK|02/11/2007|8.0|8.0|NONE|10449|TRI|31/10/2007| ||
FAM1576|F0102|MFA01320|02/11/2007|MMESP250|PACK|02/11/2007|12.0|12.0|NONE|10447|TRI|31/10/2007| ||
FAM1576|F0102|MFA01320|02/11/2007|MMSNS250|PACK|02/11/2007|12.0|12.0|NONE|10446|TRI|31/10/2007| ||
FAM1577|K055|MFA01321|02/11/2007|MMSNS250|PACK|02/11/2007|6.0|6.0|NONE|10445|TRI|31/10/2007| ||
FAM1578|K009|MFA01322|02/11/2007|MMSNS250|PACK|02/11/2007|8.0|8.0|NONE|10444|TRI|31/10/2007| ||
FAM1579|K004|MFA01323|02/11/2007|MMSNS250|PACK|02/11/2007|5.0|5.0|NONE|10443|TRI|31/10/2007| ||
FAM1580|F0068B|MFA01324|02/11/2007|MMSNS250|PACK|02/11/2007|3.0|3.0|NONE|10442|TRI|31/10/2007| ||
FAM1581|F0074|MFA01325|03/11/2007|MROAV001|VIAL|03/11/2007|30.0|30.0|NONE|10441|TRI|01/11/2007| ||
FAM1581|F0074|MFA01325|03/11/2007|MROGF001|KG|03/11/2007|13.0|13.0|NONE|10440|TRI|01/11/2007| ||
FAM1581|F0074|MFA01325|03/11/2007|MROIB001|VIAL|03/11/2007|30.0|30.0|NONE|10439|TRI|01/11/2007| ||
FAM1582|F0049|MFA01326|03/11/2007|MROAV001|VIAL|03/11/2007|5.0|5.0|NONE|10438|TRI|01/11/2007| ||
FAM1582|F0049|MFA01326|03/11/2007|MROGF001|KG|03/11/2007|5.0|5.0|NONE|10437|TRI|01/11/2007| ||
FAM1583|F0113B|MFA01327|03/11/2007|MROAV001|VIAL|03/11/2007|10.0|10.0|NONE|10436|TRI|01/11/2007| ||
FAM1583|F0113B|MFA01327|03/11/2007|MROGF001|KG|03/11/2007|10.0|10.0|NONE|10435|TRI|01/11/2007| ||
FAM1583|F0113B|MFA01327|03/11/2007|MROIB001|VIAL|03/11/2007|10.0|10.0|NONE|10434|TRI|01/11/2007| ||
FAM1584|F0006C|MFA01328|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10430|SEKA|01/11/2007| ||
FAM1585|F0009|MFA01328|02/11/2007|MLGLU001|BTL|02/11/2007|5.0|5.0|NONE|10433|SEKA|01/11/2007| ||
FAM1585|F0009|MFA01328|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10727|SEKA|01/11/2007| ||
FAM1586|F0077B|MFA01328|02/11/2007|MLGLU001|BTL|02/11/2007|2.0|2.0|NONE|10432|SEKA|01/11/2007| ||
FAM1586|F0077B|MFA01328|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10723|SEKA|01/11/2007| ||
FAM1587|F0078A|MFA01328|02/11/2007|MSIQN001|BTL|02/11/2007|4.0|4.0|NONE|10431|SEKA|01/11/2007| ||
FAM1588|F0074|MFA01329|03/11/2007|MMEDP250|PACK|03/11/2007|20.0|20.0|NONE|10429|TRI|01/11/2007| ||
FAM1588|F0074|MFA01329|03/11/2007|MMEH1201|VIAL|03/11/2007|30.0|30.0|NONE|10428|TRI|01/11/2007| ||
FAM1588|F0074|MFA01329|03/11/2007|MMESM001|KG|03/11/2007|15.0|15.0|NONE|10427|TRI|01/11/2007| ||
FAM1589|F0049|MFA01330|03/11/2007|MMEDP250|PACK|03/11/2007|8.0|8.0|NONE|10425|TRI|01/11/2007| ||
FAM1589|F0049|MFA01330|03/11/2007|MMEH1201|VIAL|03/11/2007|8.0|8.0|NONE|10426|TRI|01/11/2007| ||
FAM1589|F0049|MFA01330|03/11/2007|MMEHGM97|VIAL|03/11/2007|5.0|5.0|NONE|10424|TRI|01/11/2007| ||
FAM1589|F0049|MFA01330|03/11/2007|MMESM001|KG|03/11/2007|4.0|4.0|NONE|10422|TRI|01/11/2007| ||
FAM1589|F0049|MFA01330|03/11/2007|MMESP250|PACK|03/11/2007|8.0|8.0|NONE|10423|TRI|01/11/2007| ||
FAM1590|F0113B|MFA01331|03/11/2007|MMEDP250|PACK|03/11/2007|16.0|16.0|NONE|10421|TRI|01/11/2007| ||
FAM1590|F0113B|MFA01331|03/11/2007|MMEH1201|VIAL|03/11/2007|10.0|10.0|NONE|10420|TRI|01/11/2007| ||
FAM1590|F0113B|MFA01331|03/11/2007|MMESM001|KG|03/11/2007|7.0|7.0|NONE|10419|TRI|01/11/2007| ||
FAM1590|F0113B|MFA01331|03/11/2007|MMESP250|PACK|03/11/2007|8.0|8.0|NONE|10418|TRI|01/11/2007| ||
FAM1591|F0075|MFA01332|03/11/2007|MMESP250|PACK|03/11/2007|4.0|4.0|NONE|10417|TRI|01/11/2007| ||
FAM1592|F0074|MFA01333|03/11/2007|MMCKT001|KG|03/11/2007|3.0|3.0|NONE|10416|TRI|01/11/2007| ||
FAM1593|F0113B|MFA01334|03/11/2007|MMCKT001|KG|03/11/2007|1.0|1.0|NONE|10412|TRI|01/11/2007| ||
FAM1594|F0059|MFA01335|02/11/2007|MLGLU001|BTL|02/11/2007|1.0|1.0|NONE|10411|SEKA|01/11/2007| ||
FAM1595|F0077B|MFA01335|02/11/2007|MAUFM020|JRG|02/11/2007|1.0|1.0|NONE|10415|SEKA|01/11/2007| ||
FAM1596|F0078A|MFA01335|02/11/2007|MAUFM020|JRG|02/11/2007|2.0|2.0|NONE|10413|SEKA|01/11/2007| ||
FAM1597|F0133|MFA01336|01/11/2007|MMEDP250|PACK|01/11/2007|4.0|4.0|NONE|10403|AING|01/11/2007| ||
FAM1598|F0166|MFA01337|01/11/2007|MEKTM100|BKS|01/11/2007|5.0|5.0|NONE|10402|AING|01/11/2007| ||
FAM1599|F0117|MFA01338|01/11/2007|MEKTM100|BKS|01/11/2007|10.0|10.0|NONE|10240|AING|01/11/2007| ||
FAM1600|F0136|MFA01339|01/11/2007|MEKAA500|PACK|01/11/2007|1.0|1.0|NONE|10239|AING|01/11/2007| ||
FAM1601|K004|MFA01340|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10234|AING|01/11/2007| ||
FAM1602|K009|MFA01340|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10235|AING|01/11/2007| ||
FAM1603|K040|MFA01340|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10237|AING|01/11/2007| ||
FAM1604|K055|MFA01340|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10236|AING|01/11/2007| ||
FAM1605|F0053|MFA01341|02/11/2007|MSIQN001|BTL|02/11/2007|2.0|2.0|NONE|10232|AING|01/11/2007| ||
FAM1606|F0068B|MFA01341|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10231|AING|01/11/2007| ||
FAM1607|F0106A|MFA01341|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10233|AING|01/11/2007| ||
FAM1608|F0062|MFA01342|02/11/2007|MSIQN001|BTL|02/11/2007|2.0|2.0|NONE|10596|AING|01/11/2007| ||
FAM1609|F0091|MFA01342|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10229|AING|01/11/2007| ||
FAM1610|F0102|MFA01342|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10230|AING|01/11/2007| ||
FAM1611|F0105A|MFA01343|02/11/2007|MLGLU001|BTL|02/11/2007|12.0|12.0|NONE|10226|AING|01/11/2007| ||
FAM1612|F0115|MFA01344|03/11/2007|MMEH1201|VIAL|03/11/2007|42.0|42.0|NONE|10203|TRI|01/11/2007| ||
FAM1612|F0115|MFA01344|03/11/2007|MMEHNB25|BTL|03/11/2007|16.0|16.0|NONE|10206|TRI|01/11/2007| ||
FAM1613|F0115|MFA01345|03/11/2007|MBIFM200|DRUM|03/11/2007|1.0|1.0|NONE|10201|TRI|01/11/2007| ||
FAM1614|F0115|MFA01346|03/11/2007|MPCBU001|VIAL|03/11/2007|40.0|40.0|NONE|10200|TRI|01/11/2007| ||
FAM1616|F0036A|MFA01348|02/11/2007|MAUFM020|JRG|02/11/2007|1.0|1.0|NONE|10999|ACI|02/11/2007| ||
FAM1617|F0093|MFA01348|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10621|ACI|02/11/2007| ||
FAM1618|F0114|MFA01348|02/11/2007|MSIQN001|BTL|02/11/2007|1.0|1.0|NONE|10622|ACI|02/11/2007| ||
FAM1619|F0149|MFA01349|02/11/2007|MMEDP250|PACK|02/11/2007|5.0|5.0|NONE|10167|AING|02/11/2007| ||
FAM1620|F0166|MFA01349|02/11/2007|MMEDP250|PACK|02/11/2007|10.0|10.0|NONE|10168|AING|02/11/2007| ||
FAM1621|F0049|MFA01350|03/11/2007|MLGLU001|BTL|03/11/2007|2.0|2.0|NONE|10165|CHACHA|03/11/2007| ||
FAM1621|F0049|MFA01350|03/11/2007|MSIQN001|BTL|03/11/2007|1.0|1.0|NONE|10162|CHACHA|03/11/2007| ||
FAM1622|F0074|MFA01350|03/11/2007|MLGLU001|BTL|03/11/2007|10.0|10.0|NONE|10166|CHACHA|03/11/2007| ||
FAM1622|F0074|MFA01350|03/11/2007|MSIQN001|BTL|03/11/2007|2.0|2.0|NONE|10163|CHACHA|03/11/2007| ||
FAM1623|F0113B|MFA01350|03/11/2007|MLGLU001|BTL|03/11/2007|7.0|7.0|NONE|10164|CHACHA|03/11/2007| ||
FAM1623|F0113B|MFA01350|03/11/2007|MSIQN001|BTL|03/11/2007|2.0|2.0|NONE|10161|CHACHA|03/11/2007| ||
FAM1624|F0038|MFA01351|05/11/2007|MAUFM020|JRG|05/11/2007|1.0|1.0|NONE|10143|ACI|03/11/2007| ||
