G025|G025|B00001|
G010|G149|B00002|
G132|G132|R00001|
G133|M001|S00002|
G011|Y001|Y00001|
G004|S001|S00001|
G005|S002|S00001|
G009|S013|S00001|
G006|S003|K00001|
G007|S004|K00001|
G008|S005|K00001|
G134|L001|S00004|
G012|G1019|B00002|
G013|G1020|B00002|
G014|G1021|B00002|
G015|G1026|B00002|
G016|S001|L00004|
G017|S002|L00004|
G018|S003|L00004|
G019|S004|L00004|
G020|S005|L00004|
G021|G1079|B00002|
G023|F0001|P00002|
G026|F0021|P00002|
G027|F0023|P00002|
G028|F0022|P00002|
G030|F0046|P00002|
G035|F0073|P00002|
G033|S013|L00004|
G037|G001|M00007|
G034|F0056|P00002|
G031|F0115|P00002|
G032|F0138|P00002|
G038|K001|Q00001|
G040|SF001|S00005|
G036|F0227|P00002|
G041|B010|Q00002|
G044|F0317|P00002|
G042|P001|P00003|
G045|LA001|L00008|
G046|K001|P00004|
G047|PG001|P00008|
