2001|01/01/2001|31/01/2001|01/02/2001|28/02/2001|01/03/2001|31/03/2001|01/04/2001|30/04/2001|01/05/2001|31/05/2001|01/06/2001|30/06/2001|01/07/2001|31/07/2001|01/08/2001|31/08/2001|01/09/2001|30/09/2001|01/10/2001|31/10/2001|01/11/2001|30/11/2001|01/12/2001|31/12/2001|||
2002|01/01/2002|31/01/2002|01/02/2002|28/02/2002|01/03/2002|31/03/2002|01/04/2002|30/04/2002|01/05/2002|31/05/2002|01/06/2002|30/06/2002|01/07/2002|31/07/2002|01/08/2002|31/08/2002|01/09/2002|30/09/2002|01/10/2002|31/10/2002|01/11/2002|30/11/2002|01/12/2002|31/12/2002|||
2003|01/01/2003|31/01/2003|01/02/2003|28/02/2003|01/03/2003|31/03/2003|01/04/2003|30/04/2003|01/05/2003|31/05/2003|01/06/2003|30/06/2003|01/07/2003|31/07/2003|01/08/2003|31/08/2003|01/09/2003|30/09/2003|01/10/2003|31/10/2003|01/11/2003|30/11/2003|01/12/2003|31/12/2003|||
2004|01/01/2004|31/01/2004|01/02/2004|29/02/2004|01/03/2004|31/03/2004|01/04/2004|30/04/2004|01/05/2004|31/05/2004|01/06/2004|30/06/2004|01/07/2004|31/07/2004|01/08/2004|31/08/2004|01/09/2004|30/09/2004|01/10/2004|31/10/2004|01/11/2004|30/11/2004|01/12/2004|31/12/2004|||
2005|01/01/2005|31/01/2005|01/02/2005|28/02/2005|01/03/2005|31/03/2005|01/04/2005|30/04/2005|01/05/2005|31/05/2005|01/06/2005|30/06/2005|01/07/2005|31/07/2005|01/08/2005|31/08/2005|01/09/2005|30/09/2005|01/10/2005|31/10/2005|01/11/2005|30/11/2005|01/12/2005|31/12/2005|||
2006|01/01/2006|31/01/2006|01/02/2006|28/02/2006|01/03/2006|31/03/2006|01/04/2006|30/04/2006|01/05/2006|31/05/2006|01/06/2006|30/06/2006|01/07/2006|31/07/2006|01/08/2006|31/08/2006|01/09/2006|30/09/2006|01/10/2006|31/10/2006|01/11/2006|30/11/2006|01/12/2006|31/12/2006|||
2007|01/01/2007|31/01/2007|01/02/2007|28/02/2007|01/03/2007|31/03/2007|01/04/2007|30/04/2007|01/05/2007|31/05/2007|01/06/2007|30/06/2007|01/07/2007|31/07/2007|01/08/2007|31/08/2007|01/09/2007|30/09/2007|01/10/2007|31/10/2007|01/11/2007|30/11/2007|01/12/2007|31/12/2007|||
2008|01/01/2008|31/01/2008|01/02/2008|29/02/2008|01/03/2008|31/03/2008|01/04/2008|30/04/2008|01/05/2008|31/05/2008|01/06/2008|30/06/2008|01/07/2008|31/07/2008|01/08/2008|31/08/2008|01/09/2008|30/09/2008|01/10/2008|31/10/2008|01/11/2008|30/11/2008|01/12/2008|31/12/2008|||
2009|01/01/2009|31/01/2009|01/02/2009|28/02/2009|01/03/2009|31/03/2009|01/04/2009|30/04/2009|01/05/2009|31/05/2009|01/06/2009|30/06/2009|01/07/2009|31/07/2009|01/08/2009|31/08/2009|01/09/2009|30/09/2009|01/10/2009|31/10/2009|01/11/2009|30/11/2009|01/12/2009|31/12/2009|||
2010|01/01/2010|31/01/2010|01/02/2010|28/02/2010|01/03/2010|31/03/2010|01/04/2010|30/04/2010|01/05/2010|31/05/2010|01/06/2010|30/06/2010|01/07/2010|31/07/2010|01/08/2010|31/08/2010|01/09/2010|30/09/2010|01/10/2010|31/10/2010|01/11/2010|30/11/2010|01/12/2010|31/12/2010|||
2011|01/01/2011|31/01/2011|01/02/2011|28/02/2011|01/03/2011|31/03/2011|01/04/2011|30/04/2011|01/05/2011|31/05/2011|01/06/2011|30/06/2011|01/07/2011|31/07/2011|01/08/2011|31/08/2011|01/09/2011|30/09/2011|01/10/2011|31/10/2011|01/11/2011|30/11/2011|01/12/2011|31/12/2011|||
2012|01/01/2012|31/01/2012|01/02/2012|29/02/2012|01/03/2012|31/03/2012|01/04/2012|30/04/2012|01/05/2012|31/05/2012|01/06/2012|30/06/2012|01/07/2012|31/07/2012|01/08/2012|31/08/2012|01/09/2012|30/09/2012|01/10/2012|31/10/2012|01/11/2012|30/11/2012|01/12/2012|31/12/2012|||
2013|01/01/2013|31/01/2013|01/02/2013|28/02/2013|01/03/2013|31/03/2013|01/04/2013|30/04/2013|01/05/2013|31/05/2013|01/06/2013|30/06/2013|01/07/2013|31/07/2013|01/08/2013|31/08/2013|01/09/2013|30/09/2013|01/10/2013|31/10/2013|01/11/2013|30/11/2013|01/12/2013|31/12/2013|||
