BH000001|lhhb|A|USED BOX HATCHING EGGS|BH|USED BOX HATCHING EGGS|W|KG|1.0|425.0|01-50220|O||
CR000001|lhhb|A|PLASTIC CRATE|CR|CRATE|Q|KG|1.0|1025.0|01-50219|F||
DF000001|lhhb|X|DRUM FORMALIN|DF|DRUM FORMALIN|Q|UNIT|1.0|40000.0||O||
EG000001|erna|A|CULL EGGS (KG)|EG|EGGS|W|KG|1.0|1600.0|01-50208|O||
EG000002|erna|A|INFERTILE EGGS|EG|EGGS|Q|UNIT|1.0|45.0|01-50209|O||
EG000003|erna|A|CRACK EGGS|EG|EGGS|W|KG|1.0|1000.0|01-50210|O||
EG000004|erna|A|JUMBO EGGS (KG)|EG|EGGS|W|KG|1.0|1200.0|01-50211|O||
EG000005|lhhb|A|HATCHING EGGS|EG|EGGS|W|KG|1.0|2000.0|01-50212|O||
EG000006|erlin|A|SMALL EGGS|EG|EGGS|Q|KG|1.0|3000.0|01-50208|O||
EG000007|lhhb|X|CULL EGGS (PCS)|EG|EGGS|Q|PCS|1.0|100.0|01-50210|O||
EG000008|lhhb|X|JUMBO EGGS (PCS)|EG|EGGS|Q|PCS|1.0|100.0|01-50240|O||
EG000009|lhhb|X|CONSUMPTION EGGS (KG)|EG|EGGS|W|KG|1.0|7300.0|01-50260|O||
EG000010|lhhb|A|INFERTILE EGGS (L)|EG|EGGS|Q|PCS|1.0|75.0|01-50214|O||
K0002-15|OFF|A|KAPORIT @15 KG|MD3|DISINFECTANT|Q|KG|1.0|175000.0|01-50101|O|Y|
LT000001|erna|A|LITTER|LT|LITTER|Q|UNIT|1.0|2.5|01-50215|O||
M-1003|OFF|A|ISTAM @ 1 L|MD3|DISINFECTANT|Q|BTL|1.0|17850.0|01-50101|O|Y|
M-A001|OFF|A|ALL SIDE @ 5 LT|MD3|DISINFECTANT|Q|BOTO|1.0|308000.0|01-50101|O|Y|
M-A002|OFF|A|AMINOVIT @ 1 L|MD4|VITAMIN & SUPPLEMENT|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-A003|OFF|A|AMOXYICILIN 50% @ 100 GR|MD1|DRUG|Q|PACK|1.0|42500.0|01-50101|O|Y|
M-A003-5|OFF|A|AMOXYCILLIN TRIHYDRAYE @ 500 G|MD1|DRUG|Q|PACK|1.0|212500.0|01-50101|O|Y|
M-A004|OFF|A|AMPIBIO @ 100 GR|MD1|DRUG|Q|PACK|1.0|0.0|01-50101|O|Y|
