FAM0211|TMP25697|24/08/2007|01|MMEH1201|26100.0|0.0|
FAM0212|TMP25698|24/08/2007|01|MMEH1201|26100.0|0.0|
FAM0212|TMP25698|24/08/2007|01|MMEVT100|24650.0|0.0|
FAM0212|TMP25698|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0213|TMP25699|24/08/2007|01|MMEH1201|26100.0|0.0|
FAM0213|TMP25699|24/08/2007|01|MMESM001|28120.0|0.0|
FAM0213|TMP25699|24/08/2007|01|MMEVT100|24650.0|0.0|
FAM0213|TMP25699|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0214|TMP25700|24/08/2007|01|MMEH1201|26100.0|0.0|
FAM0214|TMP25700|24/08/2007|01|MMEVT100|24650.0|0.0|
FAM0214|TMP25700|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0215|TMP25701|24/08/2007|01|MMEH1201|26100.0|0.0|
FAM0215|TMP25701|24/08/2007|01|MMEVT100|24650.0|0.0|
FAM0215|TMP25701|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0216|TMP25702|24/08/2007|01|MMESM001|28120.0|0.0|
FAM0216|TMP25702|24/08/2007|01|MMEVT100|24650.0|0.0|
FAM0216|TMP25702|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0217|TMP25703|24/08/2007|01|MMESP250|6800.0|0.0|
FAM0217|TMP25703|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0218|TMP25704|24/08/2007|01|MMESP250|6800.0|0.0|
FAM0218|TMP25704|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0219|TMP25705|24/08/2007|01|MMESP250|6800.0|0.0|
FAM0219|TMP25705|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0220|TMP25706|24/08/2007|01|MMESP250|6800.0|0.0|
FAM0220|TMP25706|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0221|TMP25707|24/08/2007|01|MMESP250|6800.0|0.0|
FAM0221|TMP25707|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0222|TMP25708|24/08/2007|01|MMEVT100|24650.0|0.0|
FAM0222|TMP25708|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0223|TMP25709|24/08/2007|01|MMEVT100|24650.0|0.0|
FAM0223|TMP25709|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0224|TMP25710|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0225|TMP25711|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0226|TMP25712|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0227|TMP25713|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0228|TMP25714|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0229|TMP25715|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0230|TMP25716|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0231|TMP25717|24/08/2007|01|MMSNS250|28500.0|0.0|
FAM0232|TMP25718|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0232|TMP25718|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0232|TMP25718|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0232|TMP25718|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0233|TMP25719|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0233|TMP25719|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0233|TMP25719|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0233|TMP25719|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0234|TMP25720|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0234|TMP25720|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0234|TMP25720|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0234|TMP25720|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0235|TMP25721|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0235|TMP25721|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0235|TMP25721|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0235|TMP25721|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0236|TMP25722|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0236|TMP25722|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0236|TMP25722|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0236|TMP25722|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0237|TMP25723|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0237|TMP25723|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0238|TMP25724|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0238|TMP25724|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0238|TMP25724|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0238|TMP25724|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0238|TMP25724|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0239|TMP25725|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0239|TMP25725|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0239|TMP25725|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0239|TMP25725|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0240|TMP25726|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0240|TMP25726|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0240|TMP25726|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0240|TMP25726|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0241|TMP25727|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0241|TMP25727|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0242|TMP25728|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0242|TMP25728|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0242|TMP25728|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0242|TMP25728|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0243|TMP25729|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0243|TMP25729|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0244|TMP25730|24/08/2007|01|MROAMP20|167827.0|0.0|
FAM0244|TMP25730|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0245|TMP25731|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0245|TMP25731|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0245|TMP25731|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0246|TMP25732|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0246|TMP25732|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0246|TMP25732|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0247|TMP25733|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0247|TMP25733|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0247|TMP25733|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0248|TMP25734|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0248|TMP25734|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0248|TMP25734|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0249|TMP25735|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0249|TMP25735|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0249|TMP25735|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0250|TMP25736|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0250|TMP25736|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0250|TMP25736|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0251|TMP25737|24/08/2007|01|MROAV001|28500.0|0.0|
FAM0251|TMP25737|24/08/2007|01|MRODL001|4750.0|0.0|
FAM0251|TMP25737|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0252|TMP25738|24/08/2007|01|MROCK003|180500.0|0.0|
FAM0252|TMP25738|24/08/2007|01|MROGF001|66500.0|0.0|
FAM0253|TMP25739|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0254|TMP25740|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0255|TMP25741|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0256|TMP25742|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0257|TMP25743|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0258|TMP25744|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0259|TMP25745|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0260|TMP25746|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0261|TMP25747|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0262|TMP25748|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0263|TMP25749|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0264|TMP25750|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0265|TMP25751|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0266|TMP25752|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0266|TMP25752|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0267|TMP25753|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0267|TMP25753|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0268|TMP25754|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0268|TMP25754|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0269|TMP25755|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0269|TMP25755|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0270|TMP25756|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0270|TMP25756|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0271|TMP25757|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0271|TMP25757|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0272|TMP25758|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0357|TMP25759|31/08/2007|01|MMEH1201|26100.0|0.0|
FAM0357|TMP25759|31/08/2007|01|MMSNS250|28500.0|0.0|
