M007|MAA0011
B029|BBA0001
A002|BBA0002
E010|EBA0001
E022|EBA0002
I021|IBA0001
J020|JBA0001
A007|LBA0001
S068|SBA0001
S096|SBA0002
S003|SBA0003
S097|SBA0004
A005|SBA0005
U012|UBA0001
W011|WBA0001
E001|ECA0001
E018|ECA0002
S001|SCA0001
T022|TCA0001
Y004|YCA0001
U010|RDA0001
A00039|AAD0001
A00069|AAD0002
B00019|BAD0001
B00015|BAD0002
C00012|CAD0001
D00005|DAD0001
D00010|DAD0002
F00001|FAD0001
H00012|HAD0002
I00002|MAD0001
M00014|MAD0002
P00010|PAD0001
R00017|RAD0001
S00018|SAD0001
S00030|SAD0002
S00033|SAD0003
S00036|SAD0004
T00008|TAD0001
T00007|TAD0002
U00003|UAD0001
Z00001|ZAD0001
A00064|ABD0001
E00009|EBD0001
T00001|TBD0001
W00004|WBD0001
A00037|ACD0001
A00059|ACD0002
G00006|GCD0001
W00003|WCD0001
